uniprotkb_canonical_ac,ensembl_gene_id
Q96L12-1,ENSG00000269058
Q96L15-1,ENSG00000167311
Q96L14-1,ENSG00000154608
D3W0D1-1,ENSG00000256797
Q9HBR0-1,ENSG00000157637
Q99518-1,ENSG00000094963
A9QM74-1,ENSG00000185467
P34925-1,ENSG00000163785
Q9NTW7-1,ENSG00000020256
Q9H8Q6-1,ENSG00000260339
Q5BIV9-1,ENSG00000203772
Q12894-1,ENSG00000214706
O60583-1,ENSG00000082258
Q9Y2P5-1,ENSG00000083807
Q9Y2P7-1,ENSG00000152454
Q96M86-3,ENSG00000179532
Q9NYU2-1,ENSG00000136731
Q8N565-1,ENSG00000118242
Q96RU8-1,ENSG00000173334
A4D0V7-1,ENSG00000106034
P18846-1,ENSG00000123268
P01040-1,ENSG00000121552
O00591-1,ENSG00000094755
Q96S21-1,ENSG00000197562
Q15051-1,ENSG00000173226
P09693-1,ENSG00000160654
Q9Y4J8-1,ENSG00000134769
O15105-1,ENSG00000101665
A0A3B3IT45-1,ENSG00000197674
Q9P1Z3-1,ENSG00000143630
Q9P1Z2-1,ENSG00000012822
Q8IY57-1,ENSG00000015153
Q8IY50-1,ENSG00000183780
Q8IY51-1,ENSG00000169989
Q92777-1,ENSG00000157152
Q92771-1,ENSG00000214826
Q92772-1,ENSG00000138769
P42229-1,ENSG00000126561
Q99788-1,ENSG00000174600
Q99784-1,ENSG00000130558
P42224-1,ENSG00000115415
P42226-1,ENSG00000166888
Q6NT32-1,ENSG00000159398
Q13641-1,ENSG00000146242
Q96JH8-4,ENSG00000157927
P31150-1,ENSG00000203879
P31151-1,ENSG00000143556
P19404-1,ENSG00000178127
Q68CQ7-1,ENSG00000016864
A2PYH4-1,ENSG00000162669
A6NN90-1,ENSG00000284308
Q8N6R1-1,ENSG00000151778
P31152-1,ENSG00000141639
Q6ZWK6-1,ENSG00000198092
Q6ZWK4-1,ENSG00000263961
Q5T6M2-1,ENSG00000229214
Q86YL7-1,ENSG00000162493
Q86YL5-1,ENSG00000180190
O14972-1,ENSG00000157538
A0A494BZU4-1,ENSG00000172738
O14976-1,ENSG00000178950
O14974-1,ENSG00000058272
O14975-1,ENSG00000140284
O14978-1,ENSG00000006194
O14979-1,ENSG00000152795
Q5TID7-1,ENSG00000117477
Q9GZP9-1,ENSG00000072849
Q9GZP7-1,ENSG00000178201
Q9GZP4-1,ENSG00000057757
Q9GZP1-1,ENSG00000125841
Q9GZP0-1,ENSG00000170962
Q7Z7B1-1,ENSG00000277161
Q7Z7B0-1,ENSG00000118407
Q7Z7B7-1,ENSG00000186458
Q7Z7B8-1,ENSG00000185982
Q9UNA3-1,ENSG00000118017
Q9UNA0-1,ENSG00000154736
Q9UNA1-1,ENSG00000145819
Q16514-1,ENSG00000120656
Q9UNA4-1,ENSG00000101751
P01861-1,ENSG00000211892
P01860-1,ENSG00000211897
P62937-1,ENSG00000196262
A0A0C4DH55-1,ENSG00000228325
Q9UBC9-1,ENSG00000163209
Q6UXS0-1,ENSG00000261210
Q9H2W2-1,ENSG00000185155
Q9UBC0-1,ENSG00000169856
Q9UBC1-1,ENSG00000204498
Q9UBC2-1,ENSG00000127527
Q9UBC3-1,ENSG00000088305
Q6UXS9-1,ENSG00000204403
Q9UBC5-1,ENSG00000166866
Q9UBC7-1,ENSG00000197487
P37108-1,ENSG00000140319
Q5QJ74-1,ENSG00000154114
Q6K0P9-1,ENSG00000163564
Q5VWZ2-1,ENSG00000143353
Q12947-1,ENSG00000137273
Q12946-1,ENSG00000103241
Q9Y644-1,ENSG00000169733
Q9Y646-1,ENSG00000104324
Q9BV57-1,ENSG00000182551
Q12948-1,ENSG00000054598
A3QJZ7-1,ENSG00000274764
P10643-1,ENSG00000112936
P51813-1,ENSG00000102010
P51812-1,ENSG00000177189
P51811-1,ENSG00000047597
P51817-1,ENSG00000183943
P51816-1,ENSG00000155966
P51814-1,ENSG00000147124
Q8TAF3-1,ENSG00000114742
Q8TAF7-1,ENSG00000197808
Q8TAF5-1,ENSG00000198468
Q8TAF8-1,ENSG00000197753
Q6PIJ6-1,ENSG00000145868
O14498-1,ENSG00000129009
P39880-1,ENSG00000257923
O14490-1,ENSG00000170579
O14493-1,ENSG00000189143
O14492-1,ENSG00000160999
O14495-1,ENSG00000162407
O14494-1,ENSG00000067113
O14497-1,ENSG00000117713
O95922-1,ENSG00000100271
Q9NZM3-1,ENSG00000198399
O95926-1,ENSG00000117614
Q9H1I8-1,ENSG00000100325
O95925-1,ENSG00000101448
P0C869-1,ENSG00000243708
Q8NFW5-1,ENSG00000197587
Q5I0X4-1,ENSG00000221821
P0C860-1,ENSG00000224287
Q8NFW8-1,ENSG00000111726
P0C864-1,ENSG00000226950
P0C866-1,ENSG00000277147
Q562F6-1,ENSG00000163535
Q64ET8-1,ENSG00000205097
P43630-1,ENSG00000240403
P43632-1,ENSG00000221957
P0DN86-1,ENSG00000104827
P0DN87-1,ENSG00000196337
P0DN80-1,ENSG00000232535
P0DN81-1,ENSG00000243641
P0DN82-1,ENSG00000251608
Q9H4Z2-1,ENSG00000198026
P05412-1,ENSG00000177606
P05413-1,ENSG00000121769
Q9HAV0-1,ENSG00000114450
Q9HAV7-1,ENSG00000109519
Q9HAV5-1,ENSG00000131080
Q9HAV4-1,ENSG00000124571
Q6A163-1,ENSG00000196859
Q6A162-1,ENSG00000204889
Q14457-1,ENSG00000126581
Q5VZV1-1,ENSG00000139780
Q14451-1,ENSG00000141738
Q9H5X1-1,ENSG00000166797
Q02985-1,ENSG00000116785
P42166-1,ENSG00000120802
Q9Y291-1,ENSG00000090263
Q9Y297-1,ENSG00000166167
P11597-1,ENSG00000087237
P19367-1,ENSG00000156515
Q9BQ08-1,ENSG00000163515
Q9NX55-2,ENSG00000242028
Q8IYS8-1,ENSG00000228075
Q9NX57-1,ENSG00000139832
Q9NX58-1,ENSG00000145220
P0CJ85-1,ENSG00000280457
P0CJ87-1,ENSG00000258834
P0CJ86-1,ENSG00000281627
P0CJ89-1,ENSG00000281058
P0CJ88-1,ENSG00000280799
Q96DX7-1,ENSG00000166326
Q96DX4-1,ENSG00000159579
Q96DX5-1,ENSG00000102048
Q96DX8-1,ENSG00000136514
P50336-1,ENSG00000143224
Q9NR77-1,ENSG00000176894
Q9NR71-1,ENSG00000188611
Q5T4T1-1,ENSG00000205269
P56470-1,ENSG00000171747
A0A0B4J2H0-1,ENSG00000280411
P58499-1,ENSG00000183844
Q9P2T0-1,ENSG00000105549
Q9P2T1-1,ENSG00000100938
Q96TC7-1,ENSG00000137824
Q96JJ3-1,ENSG00000062598
Q96KQ7-1,ENSG00000204371
Q96KQ4-1,ENSG00000088808
Q03167-1,ENSG00000069702
Q03164-1,ENSG00000118058
P13995-1,ENSG00000065911
A4D263-1,ENSG00000164500
Q03169-1,ENSG00000185215
Q68CZ2-1,ENSG00000136205
Q8N8S7-1,ENSG00000154380
Q8N6Y1-1,ENSG00000280165
Q96NR7-1,ENSG00000251359
Q96EF6-1,ENSG00000269190
Q96NR2-1,ENSG00000174403
Q96EF0-1,ENSG00000102043
P55789-1,ENSG00000127554
P55786-1,ENSG00000141279
F8WFD2-1,ENSG00000224712
Q96NR8-1,ENSG00000139988
Q5JTN6-1,ENSG00000136918
P13667-1,ENSG00000155660
P57789-1,ENSG00000100433
Q8N2H9-1,ENSG00000174516
Q8N2H3-1,ENSG00000119943
A5D8W1-1,ENSG00000105792
Q8N2H4-1,ENSG00000204070
P51170-1,ENSG00000166828
Q8TE04-1,ENSG00000152782
Q8TE02-1,ENSG00000170291
Q96R08-1,ENSG00000172362
Q96R09-1,ENSG00000172365
Q96R05-1,ENSG00000162444
Q96R06-1,ENSG00000076382
Q8WVB6-1,ENSG00000127586
Q9Y324-1,ENSG00000119616
Q9Y2T6-1,ENSG00000135898
Q08116-1,ENSG00000090104
Q9Y320-1,ENSG00000213593
Q9H714-5,ENSG00000102445
H0Y7S4-1,ENSG00000280267
Q9Y328-1,ENSG00000170091
Q5T7V8-1,ENSG00000120370
Q9Y2T3-1,ENSG00000119125
Q8NH56-1,ENSG00000181009
Q9Y2T2-1,ENSG00000185009
Q6UWU4-1,ENSG00000198663
Q6UWU2-1,ENSG00000163521
Q8NGH5-1,ENSG00000180934
Q8NGH6-1,ENSG00000262980
Q8NGH3-1,ENSG00000178358
Q8NGH8-1,ENSG00000183389
Q8NGH9-1,ENSG00000180974
Q6NUS6-1,ENSG00000119977
Q6NUS8-1,ENSG00000145626
A0A1B0GTD5-1,ENSG00000257987
P35414-1,ENSG00000134817
P35410-1,ENSG00000204687
Q9H4X1-1,ENSG00000102760
Q9C029-2,ENSG00000146054
P41440-1,ENSG00000173638
Q8N7P1-1,ENSG00000180287
Q8N7P3-1,ENSG00000177300
Q9UBQ7-1,ENSG00000137106
P31483-1,ENSG00000116001
P27361-1,ENSG00000102882
P26010-1,ENSG00000139626
Q00444-1,ENSG00000172789
P21941-1,ENSG00000162510
Q96M94-1,ENSG00000174010
Q96M95-1,ENSG00000161973
Q96M96-1,ENSG00000139132
Q96M91-1,ENSG00000172361
Q96M93-1,ENSG00000164113
Q63HK3-1,ENSG00000155592
Q96M98-1,ENSG00000112530
Q63HK5-1,ENSG00000121297
Q6P531-1,ENSG00000167741
Q9BWN1-1,ENSG00000156858
Q8NHP8-1,ENSG00000151176
C9JFL3-1,ENSG00000233041
Q8NHP1-1,ENSG00000211454
Q8NHP7-1,ENSG00000178997
Q8NHP6-1,ENSG00000130150
Q8IY18-1,ENSG00000198887
Q9NWX5-1,ENSG00000148331
Q9NWX6-1,ENSG00000113272
Q8IWQ3-1,ENSG00000174672
Q7L2E3-1,ENSG00000132153
Q6ZN28-1,ENSG00000183742
Q8NGY7-1,ENSG00000158731
Q9BYW3-1,ENSG00000125788
Q9BYW1-1,ENSG00000133460
Q49AA0-1,ENSG00000187815
P00492-1,ENSG00000165704
Q9NQR4-1,ENSG00000114021
Q9NQR7-1,ENSG00000267909
Q9NQR1-1,ENSG00000183955
Q9NXJ5-1,ENSG00000130517
Q9NQR9-1,ENSG00000152254
Q9C009-1,ENSG00000164379
Q9C000-1,ENSG00000091592
Q9C005-1,ENSG00000162961
O00506-1,ENSG00000115694
Q6RUI8-1,ENSG00000167747
Q86WU2-1,ENSG00000166816
O60462-1,ENSG00000118257
P17030-1,ENSG00000175395
P09086-1,ENSG00000028277
Q9NRP4-1,ENSG00000196636
Q9NRP7-1,ENSG00000163482
Q9NRP0-1,ENSG00000198856
Q9NRP2-1,ENSG00000103121
A0A286YEV6-1,ENSG00000284631
A9UHW6-1,ENSG00000125457
Q86VQ6-1,ENSG00000197763
P59796-1,ENSG00000198704
Q86VQ0-1,ENSG00000135338
Q86VQ1-1,ENSG00000106415
O95006-1,ENSG00000221910
P08686-1,ENSG00000231852
Q01581-1,ENSG00000112972
P59534-1,ENSG00000236398
P59535-1,ENSG00000221937
P54725-1,ENSG00000179262
Q96QU8-1,ENSG00000169180
Q96QU4-1,ENSG00000225899
Q96QU6-1,ENSG00000110455
Q96QU1-1,ENSG00000150275
P54252-2,ENSG00000066427
P54253-1,ENSG00000124788
P54257-1,ENSG00000173805
P54259-1,ENSG00000111676
P05556-1,ENSG00000150093
P14678-1,ENSG00000125835
P14679-1,ENSG00000077498
Q8TB69-1,ENSG00000175322
Q8TB68-1,ENSG00000131188
P14672-1,ENSG00000181856
Q13478-1,ENSG00000115604
O75391-1,ENSG00000091640
Q8IYD8-1,ENSG00000187790
O15496-1,ENSG00000069764
O15498-1,ENSG00000106636
